glance ɡlɑːns  ɡlæns
locust ˈləʊkəst  ˈloʊkəst
loose luːs  luːs
lorry ˈlɒri  ˈlɔːri
loss lɒs  lɔːs
lounge laʊndʒ  laʊndʒ
luggage ˈlʌɡɪdʒ  ˈlʌɡɪdʒ
lung lʌŋ  lʌŋ
madam ˈmædəm  ˈmædəm
maid meɪd  meɪd
majority məˈdʒɒrəti  məˈdʒɔːrəti
male meɪl  meɪl
mankind mænˈkaɪnd  mænˈkaɪnd
marathon ˈmærəθən  ˈmærəθɑːn
marble ˈmɑːb(ə)l  ˈmɑːrb(ə)l
march mɑːtʃ  mɑːrtʃ
marriage ˈmærɪdʒ  ˈmærɪdʒ
mask mɑːsk  mæsk
mat eɪ  eɪ
mature məˈtʃʊə(r)  məˈtʃʊr
maximum ˈmæksɪməm  ˈmæksɪməm
media ˈmiːdiə  ˈmiːdiə
medium ˈmiːdiəm  ˈmiːdiəm
memorial məˈmɔːriəl  məˈmɔːriəl
mend mend  mend
mentally ˈmentəli  ˈmentəli
menu ˈmenjuː  ˈmenjuː
merchant ˈmɜːtʃənt  ˈmɜːrtʃənt
merciful ˈmɜːsɪf(ə)l  ˈmɜːrsɪf(ə)l
merely ˈmɪəli  ˈmɪrli
merry ˈmeri  ˈmeri
mess mes  mes
messy ˈmesi  ˈmesi
metal ˈmet(ə)l  ˈmet(ə)l
Mexican ˈmeksɪkən  ˈmeksɪkən
mild maɪld  maɪld
mile An error occurred: 'ukphone'
millimeter ˈmɪlimiːtə(r)  ˈmɪlimiːtər
mineral ˈmɪnərəl  ˈmɪnərəl
minibus ˈmɪnibʌs  ˈmɪnibʌs
minimum ˈmɪnɪməm  ˈmɪnɪməm
ministry ˈmɪnɪstri  ˈmɪnɪstri
minority maɪˈnɒrəti  maɪˈnɔːrəti
minus ˈmaɪnəs  ˈmaɪnəs
missile ˈmɪsaɪl  ˈmɪs(ə)l
mist mɪst  mɪst
mixture ˌpreɪɪŋ ˈmæntɪs  ˌpreɪɪŋ ˈmæntɪs
modem ˈməʊdem  ˈmoʊdəm
modern ˈmɒd(ə)n  ˈmɑːdərn
mommy ˈmɒmi  ˈmɑːmi
monitor ˈmɒnɪtə(r)  ˈmɑːnɪtər
monument ˈmɒnjumənt  ˈmɑːnjumənt
moon muːn  muːn
mop mɒp  mɑːp
moral ˈmɒrəl  ˈmɔːrəl
Moslem ˈmɒzləm  ˈmɑːzləm
mosquito məˈskiːtəʊ  məˈskiːtoʊ
motherland ˈmʌðəlænd  ˈmʌðərlænd
